Feature,Mean_IC,IC_Std,IC_IR
f246,-0.005542980373917451,0.07780242639105424,-0.07124430327679027
f374,-0.0034636210626508707,0.04921316626493559,-0.07037995361251864
f326,0.006140942436567141,0.08739302623399346,0.07026809802241984
f37,-0.006130718063182324,0.08825824294547045,-0.06946339700345226
f56,0.0035648155129995108,0.05151530612585,0.06919913884039455
f97,0.004558224027828791,0.06608511214234124,0.06897504128101327
f134,-0.0034718065466872237,0.05098943520985184,-0.06808872958704842
f304,-0.003320933459359746,0.04914810664868589,-0.06756990269022933
f371,-0.004482452874160308,0.06733637278733803,-0.06656806749356889
f112,-0.004239452613523984,0.06403624557364174,-0.06620394299364694
f142,0.0032964458181561646,0.04981305672600563,0.06617632751438705
f248,-0.004023985544770072,0.06127493137448613,-0.0656709815547142
f367,-0.00450397951585293,0.0698509453107545,-0.06447985565573906
f91,-0.00440713619495988,0.06847332944695528,-0.06436280500637752
f77,-0.0030486507451141114,0.04774884343602978,-0.06384762199993886
f357,0.004812461104220384,0.07747994757942872,0.0621123353002211
f106,0.0053366614693648754,0.09046779947916088,0.05898961741296685
f147,0.0030189825514346956,0.05199372423472266,0.058064353250829724
f378,0.003293342789674136,0.057130397410931316,0.05764605818378933
f345,-0.004449425333666678,0.07877204043826518,-0.0564848230928527
f217,0.003720955125011981,0.06669029571661247,0.05579454292537597
f103,0.003930691379144631,0.07136893650520748,0.05507565365081892
f78,0.003625513162523533,0.06587568988050786,0.055035668222119284
f254,-0.004690413321878823,0.08593698429914183,-0.054579676193372076
f80,-0.004172542293820427,0.07767700593566301,-0.053716562660908455
f118,0.002716749030471685,0.05162748074260918,0.05262213970491304
f152,-0.0046905670420205985,0.08928881869188635,-0.052532518465513586
f221,0.0035190208100475237,0.06706951765773334,0.05246825097689158
f69,0.002500002763948574,0.04800078783894698,0.05208252521836454
f115,0.0025244159894339513,0.04892179952447591,0.05160103467086533
f184,-0.0029902284716894867,0.05887144520287902,-0.05079250141490054
f113,0.002439322033299875,0.0490581459789194,0.04972306815502945
f121,-0.0024250151338200553,0.049031109403426275,-0.0494586940564648
f275,0.002587085361005385,0.05280125636235102,0.04899665366454277
f31,-0.0045710931712608285,0.09462753796177557,-0.04830615681923095
f1,0.0045219417880110815,0.09632362918919314,0.04694529635793093
f256,0.0023106281394198744,0.04924298112759336,0.04692298510934913
f48,0.0026359955267512493,0.05730716062527695,0.04599765610463708
f123,-0.0022023491694704855,0.04795440537760402,-0.04592588924562389
f280,0.0022679726477033008,0.049858353798719855,0.04548830877922898
f306,-0.002786437162969527,0.06212303049560851,-0.04485352199022681
f175,-0.002235126787009824,0.050881410800718924,-0.043928152001963025
f189,-0.002218785037951649,0.05058360536115378,-0.04386371005927718
f60,-0.002516287497010929,0.05913276860693856,-0.042553175350289914
f204,-0.002894648805411533,0.06843332415202667,-0.042298813016781935
f185,-0.0023934851851410504,0.05715780914246583,-0.0418750263927196
f344,-0.0031598964314363213,0.07576670232279695,-0.04170560308825174
f303,-0.0020235467581749653,0.04860523088457,-0.041632275066398265
f110,-0.004123895128333737,0.10007791899443026,-0.04120683920790615
f312,0.003466007467227817,0.0864092254522128,0.040111539572001365
f126,-0.004055273386642839,0.10395523294170006,-0.03900980144808192
f188,-0.0019397668008658813,0.05078615640673914,-0.038194786850627126
f360,0.0032554644734159193,0.08589332585935269,0.03790124624739954
f307,-0.0021764486808659345,0.05862240901988747,-0.037126558699796766
f227,-0.0023636830216506866,0.06382941455751233,-0.03703124441488476
f343,0.0026544427389799978,0.07598486605078164,0.03493382995329229
f101,-0.003416834189845544,0.10140659665967755,-0.03369439430423407
f144,-0.001721875180180861,0.05138012237723245,-0.03351247068689644
f64,-0.0017054416217676905,0.050954629406410226,-0.033469800623358775
f323,-0.0021991881578133864,0.06949974056274047,-0.03164310864436964
